system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
native-olap,sf10,3,0,q15,OK,1,241,-,10,-1,-1,2,4,32803968,0,0,fd336107c4d3491a-9052e80a993630ac,1789795834200,1789795834442,7202864,0,5.13,-
native-olap,sf10,3,0,q16,OK,27840,438,-,374,15,26,22,1817,597121360,171348473,10071649,1ecd8cf922c94da5-9db7e671c1660dca,1789795834484,1789795834923,7417600,0,5.29,-
native-olap,sf10,3,0,q17,OK,1,153,-,136,9,7,5,681,134000800,1223939068,54368971,e211ba5902604e8b-802279139b1faba8,1789795834963,1789795835117,7417600,0,5.44,-
native-olap,sf10,3,0,q18,OK,100,1048,-,1031,14,52,31,5601,1019189600,1493286048,68862466,3891b48432e240d5-bd3d426a7cb338bb,1789795835163,1789795836211,8259460,0,6.53,-
native-olap,sf10,3,0,q19,OK,1,246,-,230,14,10,8,1140,67850384,1563479044,61986052,3138d3299e474b07-a3954ae47875a4c3,1789795836261,1789795836508,8259460,8192,5.38,-
native-olap,sf10,3,0,q20,OK,1804,215,-,198,15,23,16,568,369098948,557820154,12171958,ddd355af7c8f40ae-92bd5d7df9d2e409,1789795836560,1789795836775,8420920,8192,4.31,-
native-olap,sf10,3,0,q21,OK,100,872,-,856,40,39,34,5107,336359532,2356096141,135165689,3aadd4d175c649bc-85727b0067c1407d,1789795836851,1789795837724,8420920,5267456,5.28,-
native-olap,sf10,3,0,q22,OK,7,191,-,18,-1,-1,4,4,32780416,0,0,ffad2b70bbe44108-8d45a218e76f1e8e,1789795837773,1789795837964,8402188,5238784,3.78,-
native-olap,sf10,4,0,q01,OK,4,2505,-,5817,-1,-1,33,7756,1646436672,590852842,4630808,b707b684107a48c4-b00b6f7bd0c153e4,1789795844632,1789795847138,7805104,69156864,6.62,-
native-olap,sf10,4,0,q02,OK,100,327,-,311,18,17,13,801,266377164,155890643,7633363,9c7a8bb299c84e41-a1ea67776957677e,1789795847184,1789795847512,7805104,36700160,5.43,-
native-olap,sf10,4,0,q03,OK,10,205,-,189,13,28,21,774,311621356,415140556,19551814,8b99d47c2bf84361-bb9da886d063d4ab,1789795847558,1789795847764,7805104,20709376,4.63,-
native-olap,sf10,4,0,q04,OK,5,377,-,359,6,22,18,1880,305761800,334203408,20181440,b9323f65a65c4049-91834ea6ce74354b,1789795847803,1789795848180,7914204,39194624,5.34,-
native-olap,sf10,4,0,q05,OK,5,515,-,500,31,27,23,2516,503833692,613055787,29043678,3570154358c49e0-9adda2736c4deeb3,1789795848242,1789795848757,8018456,38146048,6.19,-
native-olap,sf10,4,0,q06,OK,1,73,-,59,5,4,3,266,67290528,385511312,9099165,298f46f887d481f-94c2311a5faf43bc,1789795848796,1789795848870,8176004,19660800,6.40,-
native-olap,sf10,4,0,q07,OK,4,362,-,347,31,37,32,1549,460706332,1016362490,34829712,65543859b794789-ae939ecec97b75b8,1789795848933,1789795849295,8176004,18632704,4.99,-
native-olap,sf10,4,0,q08,OK,2,709,-,694,67,35,26,3933,316733788,2190495395,77975112,886bbff7f10b4d3e-86d2b7199c5063e7,1789795849421,1789795850130,8333000,24612864,6.10,-
native-olap,sf10,4,0,q09,OK,175,922,-,907,42,40,29,4990,1057664588,2791918061,85085729,76ea445a41524f92-ab3964921bf1ae6a,1789795850196,1789795851119,8690712,0,6.20,-
native-olap,sf10,4,0,q10,OK,20,681,-,250,-1,-1,9,111,153443264,16008372,2000000,cc70d177ca2744a1-8b1e3002ff3485bd,1789795851166,1789795851847,8690712,4898816,6.38,-
native-olap,sf10,4,0,q11,OK,171440,402,-,324,25,23,19,978,244746028,290230778,16200050,e764327f5cb64a1f-b08756a455e5575f,1789795851896,1789795852298,8690712,12226560,4.77,-
native-olap,sf10,4,0,q12,OK,2,278,-,263,8,27,24,1393,301194164,445482380,25596269,524187b2828b413d-8bc0a5a6f21218ae,1789795852337,1789795852615,8686672,12226560,5.93,-
native-olap,sf10,4,0,q13,OK,46,1054,-,1040,6,13,10,6773,496774320,975126098,16500000,fe622a2e3e2945c7-a44c25f0b12079ac,1789795852653,1789795853707,8611668,0,6.22,-
native-olap,sf10,4,0,q14,OK,1,90,-,77,6,8,6,323,354601308,89931432,2749167,277bc195576c4fa3-87b88880c268cb69,1789795853741,1789795853832,8308028,0,4.02,-
native-olap,sf10,4,0,q15,OK,1,206,-,193,12,14,11,1019,546774144,212565741,4631428,643c08aba73e4c70-91502c950339f15a,1789795853872,1789795854078,8308028,0,4.02,-
native-olap,sf10,4,0,q16,OK,27840,313,-,284,9,14,11,1767,713250872,171348473,10071649,5e445eee80e745fb-b821e695304b59ab,1789795854118,1789795854432,8308028,0,4.47,-
native-olap,sf10,4,0,q17,OK,1,140,-,126,8,6,5,704,134754496,1223939068,54368971,bbbe2b5142384762-a736776943b2e954,1789795854471,1789795854611,8134968,0,4.92,-
native-olap,sf10,4,0,q18,OK,100,853,-,839,13,31,27,5503,1013695876,1493286048,68862466,b3afbf29ed0741bc-a5832be0c4f986b2,1789795854653,1789795855506,8565532,0,6.07,-
native-olap,sf10,4,0,q19,OK,1,233,-,217,14,9,7,1367,107346928,1563479044,61986052,c794c98f36d74b26-847e08f9e969f97c,1789795855550,1789795855784,8565532,0,6.23,-
native-olap,sf10,4,0,q20,OK,1804,186,-,171,13,16,12,870,400980468,557820154,12171958,b4c107e758c24aa8-80a88c6fe0337fa1,1789795855827,1789795856013,8565532,0,4.54,-
native-olap,sf10,4,0,q21,OK,100,996,-,981,40,37,33,6033,458751876,2948122877,165088261,87959adc0a142ae-a049ea420e979750,1789795856090,1789795857086,8374208,0,4.74,-
native-olap,sf10,4,0,q22,OK,7,176,-,161,10,18,15,871,549093576,148850624,18000000,fc655f491ecf4b0c-860ca7f576f9c89e,1789795857127,1789795857304,7886628,0,2.20,-
