system,sf,round,cold,query,status,rows,wall_ms,engine_ms,fe_ms,plan_ms,schedule_ms,rpc1_ms,cpu_ms,peak_mem_bytes,scan_bytes,scan_rows,query_id,start_ms,end_ms,peak_rss_kb,read_bytes,cpu_cores,gpu_peak_mib
sirius,sf10,3,0,q22,OK,7,393,288.3,379,28,350,348,0,0,0,0,3082dd518ae647d2-b1522337ba9e2a9c,1789794689242,1789794689636,1815656,159211520,0.95,13583
sirius,sf10,4,0,q01,OK,4,1062,975.7,1047,17,1030,1028,0,0,0,0,e005b7902d094029-ae986be0fddb2b9c,1789794695409,1789794696472,1764424,642842624,1.37,13583
sirius,sf10,4,0,q02,OK,100,611,305.1,596,65,530,528,0,0,0,0,e836853b3f6e46a2-a4027d12f601dd13,1789794696573,1789794697185,1764424,305152000,1.06,13583
sirius,sf10,4,0,q03,OK,10,2808,2686.7,2794,36,2756,2754,0,0,0,0,8b5b3dafba6645b1-aa2d57cbe259df83,1789794697254,1789794700062,1764424,1172901888,0.43,13583
sirius,sf10,4,0,q04,OK,5,1386,1312.6,1372,25,1346,1344,0,0,0,0,c09944f3919e4f09-a77a2beaf1e13960,1789794700123,1789794701510,1761052,477433856,0.51,13583
sirius,sf10,4,0,q05,OK,5,3322,3140.7,3308,49,3258,3255,0,0,0,0,887b527e09cf42cb-a17ae2308a4411c2,1789794701595,1789794704918,1795832,1137766400,0.44,13583
sirius,sf10,4,0,q06,OK,1,1691,1642.5,1677,16,1659,1658,0,0,0,0,338082e5fd494d5d-acd6cfe757ec23f9,1789794704969,1789794706660,1795832,662061056,0.46,13583
sirius,sf10,4,0,q07,OK,4,3634,3427.2,3619,54,3564,3561,0,0,0,0,41d088a172414ed5-918705ef7f7bf76a,1789794706749,1789794710383,1790440,1161560064,0.45,13583
sirius,sf10,4,0,q08,OK,2,4637,4367.4,4623,62,4560,4557,0,0,0,0,28aae06f1d594d03-9bf92b2a13bd13d5,1789794710481,1789794715119,1794812,1478086656,0.46,13583
sirius,sf10,4,0,q09,OK,175,4813,4605.2,4800,53,4745,4744,0,0,0,0,53072605cbc646d8-98a7622e7c23691a,1789794715202,1789794720015,1794812,1542664192,0.46,13583
sirius,sf10,4,0,q10,OK,20,2788,2650.2,2775,36,2738,2735,0,0,0,0,a5aa8b907dab49a9-b4e1503efef1b73b,1789794720086,1789794722874,1779824,968802304,0.50,13583
sirius,sf10,4,0,q11,OK,171440,669,361.5,607,41,538,536,0,0,0,0,4bebf1c85e7040fc-a4b84a6d25c8198b,1789794722951,1789794723621,1738176,246022144,0.84,13583
sirius,sf10,4,0,q12,OK,2,1585,1499.6,1571,25,1545,1543,0,0,0,0,49d49c7a53f64a5b-b642732059270229,1789794723683,1789794725269,1751540,827596800,0.59,13583
sirius,sf10,4,0,q13,OK,46,1705,1641.5,1691,18,1672,1670,0,0,0,0,8a8a1b01381d4619-bae42f78aba1b8ec,1789794725321,1789794727027,1751540,587411456,0.57,13583
sirius,sf10,4,0,q14,OK,1,2601,2508.6,2585,32,2552,2551,0,0,0,0,6b084179811143ab-9a80fea0475454ef,1789794727094,1789794729695,1751468,955523072,0.54,13583
sirius,sf10,4,0,q15,OK,1,2553,2412.7,2530,40,2489,2488,0,0,0,0,61ffd8e6917d4e93-b15b0c96783e6730,1789794729772,1789794732326,1786480,964976640,0.63,13583
sirius,sf10,4,0,q16,OK,27840,355,230.9,327,24,295,293,0,0,0,0,93178b5e8b7c421e-8a388e475a458cbc,1789794732383,1789794732738,1786480,97128448,1.02,13583
sirius,sf10,4,0,q17,OK,1,3475,3363.1,3461,42,3418,3416,0,0,0,0,728ead573f924f62-9b34927922605166,1789794732811,1789794736287,1801384,1240817664,0.40,13583
sirius,sf10,4,0,q18,OK,100,2270,2103.8,2255,44,2209,2207,0,0,0,0,d809b64fe2614cb1-9dda2cbd86e9353d,1789794736369,1789794738639,1803408,840298496,0.76,13583
sirius,sf10,4,0,q19,OK,1,2756,2633.4,2740,29,2710,2709,0,0,0,0,d29413d16d84442e-b461c3305572cec3,1789794738706,1789794741462,1803408,1046863872,0.41,13583
sirius,sf10,4,0,q20,OK,1804,2808,2594.8,2793,44,2706,2705,0,0,0,0,be12ef464dcd4854-ab44830e07247891,1789794741540,1789794744349,1758304,898404352,0.43,13583
sirius,sf10,4,0,q21,OK,100,6720,6510.9,6707,67,6638,6636,0,0,0,0,9f40dafbafec43a5-98380ecfb5542f44,1789794744450,1789794751171,1824040,1769078784,0.68,13583
sirius,sf10,4,0,q22,OK,7,388,282.1,374,28,344,342,0,0,0,0,44b189450ca04094-b11446299ec27d70,1789794751233,1789794751621,1824040,159211520,1.11,13583
